np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
MBON29	FBbt:00047953	mushroom body output neuron			specificity	
MBON30	FBbt:00047953	mushroom body output neuron			specificity	
MBON31	FBbt:00047953	mushroom body output neuron			specificity	
MBON32	FBbt:00047953	mushroom body output neuron			specificity	
MBON33	FBbt:00047953	mushroom body output neuron			specificity	
MBON34	FBbt:00047953	mushroom body output neuron			specificity	
MBON35	FBbt:00047953	mushroom body output neuron			specificity	
MC61	FBbt:00111641	medulla columnar neuron MC61				
MC62	FBbt:00111768	medulla columnar neuron MC62				
MC64	FBbt:00111640	medulla columnar neuron			specificity	
MC65	FBbt:00111640	medulla columnar neuron			specificity	
MC66	FBbt:00111640	medulla columnar neuron			specificity	
MDN	FBbt:00111308	adult moonwalker descending neuron				
MZ_lv2PN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
MZ_lvPN	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
NPFL1-I	FBbt:00048114	adult NPF L1-l neuron				
NPFP1	FBbt:00048120	adult NPF P1 neuron				
OA-ASM1	FBbt:00110168	octopaminergic ASM1 neuron				
OA-ASM2	FBbt:00110169	octopaminergic ASM2 neuron				
OA-ASM3	FBbt:00110170	octopaminergic ASM3 neuron				
OA-VPM3	FBbt:00110151	octopaminergic VPM3 neuron				
OA-VPM4	FBbt:00110152	octopaminergic VPM4 neuron				
OA-VUMa1	FBbt:00110156	octopaminergic VUMa1 neuron				
OA-VUMa2	FBbt:00110157	octopaminergic VUMa2 neuron				
OA-VUMa5	FBbt:00047934	octopaminergic VUMa5 neuron				
OA-VUMa6	FBbt:00047935	octopaminergic VUMa6 neuron				
OA-VUMa7	FBbt:00047936	octopaminergic VUMa7 neuron				
OCG01					?	
OCG02					?	
OCG03					?	
OCG04					?	
OCG05					?	
OCG06					?	
OCG07					?	
OCG08					?	
ORN_D	FBbt:00067034	adult olfactory receptor neuron Or69a			assuming 1 ORN per glomerulus	
ORN_DA1	FBbt:00067031	adult olfactory receptor neuron Or67d			assuming 1 ORN per glomerulus	
ORN_DA2	FBbt:00067063	adult olfactory receptor neuron Or56a			assuming 1 ORN per glomerulus	
ORN_DA3	FBbt:00067033	adult olfactory receptor neuron Or23a			assuming 1 ORN per glomerulus	
ORN_DA4l	FBbt:00067048	adult olfactory receptor neuron Or43a			assuming 1 ORN per glomerulus	
ORN_DA4m	FBbt:00067001	adult olfactory receptor neuron Or2a			assuming 1 ORN per glomerulus	
ORN_DC1	FBbt:00067018	adult olfactory receptor neuron Or19			assuming 1 ORN per glomerulus	
ORN_DC2	FBbt:00067016	adult olfactory receptor neuron Or13a			assuming 1 ORN per glomerulus	
ORN_DC3	FBbt:00067047	adult olfactory receptor neuron Or83c			assuming 1 ORN per glomerulus	
ORN_DC4	FBbt:00111210	adult olfactory receptor neuron Ir64a DC4			assuming 1 ORN per glomerulus	
ORN_DL1	FBbt:00067013	adult olfactory receptor neuron Or10a			assuming 1 ORN per glomerulus	
ORN_DL2d	FBbt:00007386	adult olfactory receptor neuron			specificity	
ORN_DL2v	FBbt:00007386	adult olfactory receptor neuron			specificity	
ORN_DL3	FBbt:00067011	adult olfactory receptor neuron Or65			assuming 1 ORN per glomerulus	
ORN_DL4	FBbt:00067055	adult olfactory receptor neuron Or49a/85f			assuming 1 ORN per glomerulus	
ORN_DL5	FBbt:00067005	adult olfactory receptor neuron Or7a			assuming 1 ORN per glomerulus	
ORN_DM1	FBbt:00067046	adult olfactory receptor neuron Or42b			assuming 1 ORN per glomerulus	
ORN_DM2	FBbt:00067025	adult olfactory receptor neuron Or22			assuming 1 ORN per glomerulus	
ORN_DM3	FBbt:00067054	adult olfactory receptor neuron Or47a			assuming 1 ORN per glomerulus	
ORN_DM4	FBbt:00067003	adult olfactory receptor neuron Or59b			assuming 1 ORN per glomerulus	
ORN_DM5	FBbt:00067049	adult olfactory receptor neuron Or85a			assuming 1 ORN per glomerulus	
ORN_DM6	FBbt:00067020	adult olfactory receptor neuron Or67a			assuming 1 ORN per glomerulus	
ORN_DP1l	FBbt:00110013	adult olfactory receptor neuron Ir75a			assuming 1 ORN per glomerulus	
ORN_DP1m	FBbt:00111212	adult olfactory receptor neuron Ir64a DP1m			assuming 1 ORN per glomerulus	
ORN_V	FBbt:00067064	adult olfactory receptor neuron Gr21a/63a			assuming 1 ORN per glomerulus	
ORN_VA1d	FBbt:00067057	adult olfactory receptor neuron Or88a			assuming 1 ORN per glomerulus	
ORN_VA1v	FBbt:00067056	adult olfactory receptor neuron Or47b			assuming 1 ORN per glomerulus	
ORN_VA2	FBbt:00067059	adult olfactory receptor neuron Or92a			assuming 1 ORN per glomerulus	
ORN_VA3	FBbt:00067023	adult olfactory receptor neuron Or67b			assuming 1 ORN per glomerulus	
ORN_VA4	FBbt:00067051	adult olfactory receptor neuron Or85d			assuming 1 ORN per glomerulus	
ORN_VA5	FBbt:00067061	adult olfactory receptor neuron Or49b			assuming 1 ORN per glomerulus	
ORN_VA6	FBbt:00067044	adult olfactory receptor neuron Or82a			assuming 1 ORN per glomerulus	
ORN_VA7l	FBbt:00067052	adult olfactory receptor neuron Or46a			assuming 1 ORN per glomerulus	
ORN_VA7m	FBbt:00007386	adult olfactory receptor neuron			specificity	
ORN_VC1	FBbt:00067036	adult olfactory receptor neuron Or33c/85e			assuming 1 ORN per glomerulus	
ORN_VC2	FBbt:00067041	adult olfactory receptor neuron Or71a			assuming 1 ORN per glomerulus	
ORN_VC3l	FBbt:00007386	adult olfactory receptor neuron			specificity	
